user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
ᏉᎥ☻լꂅϮ,astroworld,wednesday addams as a disney princess keepin it [̲̅$̲̅(̲̅ιοο̲̅)̲̅$̲̅] 👸🏻💚♊️🧀🌵🌃🌙,26/05/17 5:46,624,950,18775,FALSE,25/07/20 12:27,"If I smelled the scent of hand sanitizers today on someone in the past, I would think they were so intoxicated that… https://t.co/QZvYbrOgb0",,Twitter for iPhone,FALSE
Tom Basile 🇺🇸,"New York, NY","Husband, Father, Columnist & Commentator. Author of Tough Sell: Fighting the Media War in Iraq. Bush Admin Alum. Newsmax Contributor. Fmr Exec Dir NYSGOP",16/04/09 20:06,2253,1677,24,TRUE,25/07/20 12:27,Hey @Yankees @YankeesPR and @MLB - wouldn't it have made more sense to have the players pay their respects to the A… https://t.co/1QvW0zgyPu,,Twitter for Android,FALSE
Time4fisticuffs,"Pewee Valley, KY",#Christian #Catholic #Conservative #Reagan #Republican #Capitalist; Sports lover - #BBN #Cincinnati #Reds #Bengals #Trump2020,28/02/09 18:57,9275,9525,7254,FALSE,25/07/20 12:27,@diane3443 @wdunlap @realDonaldTrump Trump never once claimed #COVID19 was a hoax. We all claim that this effort to… https://t.co/Jkk8vHWHb3,['COVID19'],Twitter for Android,FALSE
ethel mertz,Stuck in the Middle ,#Browns #Indians #ClevelandProud #[]_[] #Cavs #Resist,07/03/19 1:45,197,987,1488,FALSE,25/07/20 12:27,@brookbanktv The one gift #COVID19 has give me is an appreciation for the simple things that were always around me… https://t.co/Z0pOAlFXcW,['COVID19'],Twitter for iPhone,FALSE
DIPR-J&K,Jammu and Kashmir,"🖊️Official Twitter handle of Department of Information and Public Relations, Govt of Jammu & Kashmir",12/02/17 6:45,101009,168,101,FALSE,25/07/20 12:27,"25 July : Media Bulletin on Novel #CoronaVirusUpdates #COVID19 
@kansalrohit69 @DrSyedSehrish @airnewsalerts @ANI… https://t.co/MN0EEcsJHh","['CoronaVirusUpdates', 'COVID19']",Twitter for Android,FALSE
🎹 Franz Schubert,Новоро́ссия,"🎼  #Новоро́ссия #Novorossiya #оставайсядома #STAYatHOME Polymath, composer, English.",19/03/18 16:29,1180,1071,1287,FALSE,25/07/20 12:27,#coronavirus #covid19 deaths continue to rise. It's almost  as bad as it ever was.  Politicians and businesses want… https://t.co/hXMHooXX2C,"['coronavirus', 'covid19']",Twitter Web App,FALSE
hr bartender,"Gainesville, FL",Workplace tips and advice served up in a friendly place. Corporate blog of @ITMGroup by @Sharlyn_Lauby. Cheers!,12/08/08 18:19,79956,54810,3801,FALSE,25/07/20 12:27,"How #COVID19 Will Change Work in General (and recruiting, specifically) via/ @ProactiveTalent #Recruiting… https://t.co/bjZxzGPMbK","['COVID19', 'Recruiting']",Buffer,FALSE
Derbyshire LPC,,,03/02/12 18:08,608,355,95,FALSE,25/07/20 12:27,You now have to wear face coverings when out shopping - this includes a visit to your local Community Pharmacy… https://t.co/OSu5Q4kdd7,,TweetDeck,FALSE
Prathamesh Bendre,,"A poet, reiki practitioner and a student of law.",25/04/15 8:15,25,29,18,FALSE,25/07/20 12:26,"Praying for good health and recovery of @ChouhanShivraj .
#covid19
#covidPositive","['covid19', 'covidPositive']",Twitter for Android,FALSE
Member of Christ 🇨🇳🇺🇸🇮🇳🇮🇩🇧🇷🇳🇬🇧🇩🇷🇺,👇🏻location at link below👇🏻,"Just as the body is one & has many members, & all the members of the body, though many, are one body, so it is with Christ. 1 Corinthians 12:12",17/08/14 4:53,55201,34239,29802,FALSE,25/07/20 12:26,"POPE AS GOD - Prophet Sadhu Sundar Selvaraj. Watch here at https://t.co/7X5RTyKVji 

#HurricaneHanna #COVID19… https://t.co/06dZcGUnwL","['HurricaneHanna', 'COVID19']",Twitter for iPhone,FALSE
Voice Of CBSE Students,,,14/07/20 17:50,8,10,7,FALSE,25/07/20 12:26,"49K+ Covid19 cases still no response from 
@cbseindia29 @HRDMinistry @DrRPNishank.Please cancel the compartment exa… https://t.co/kV2ZKmumu1",,Twitter Web App,FALSE
Creativegms,"Dhaka,Bangladesh","I'm Motalib Mia, Logo -Logo Designer - Branding - Brand Identity Designer. I like to use my creativity, Client Satisfaction is my focus.

motalibmas@gmail.com",12/01/20 9:03,241,1694,8443,FALSE,25/07/20 12:26,"Order here: https://t.co/4NUrGX6EmA

#logo #graphicdesigner #logodesign #logodesinger #icon  #minimalist #Abstract… https://t.co/0yPMoGqi9s","['logo', 'graphicdesigner', 'logodesign', 'logodesinger', 'icon', 'minimalist', 'Abstract']",Twitter Web App,FALSE
SEXXYLYPPS,Hotel living - various cities!  Who needs a home when hotel living is so fabulous!,"My ink ""My Way...No Regrets""
Always Make Happiness Your #1 Priority",25/03/10 21:16,0,8,32,FALSE,25/07/20 12:26,👋🏻@PattyHajdu @NavdeepSBains — no one will be safe from #COVID19 until everyone is safe. Will you commit to ensure… https://t.co/aWCJo6eKvC,['COVID19'],Twitter Web App,FALSE
Africa Youth Advisory Board on DRR,Africa,Official account of the Africa Youth Advisory Board on Disaster Risk Reduction (DRR) of @_AfricanUnion . Facilitating meaningful engagement of African Youth.,13/05/19 6:27,830,254,3692,FALSE,25/07/20 12:26,"Let's all protect ourselves from #COVID19.
It's real and the numbers are climbing up fast in the Continent.
Let's n… https://t.co/byMSfxltrw",['COVID19'],Twitter Web App,FALSE
DailyaddaaNews,New Delhi,Breaking news alerts from India.,22/10/16 9:18,546,29,88,FALSE,25/07/20 12:26,Rajasthan Government today started a Plasma Bank at Sawai Man Singh Hospital in Jaipur for treatment of COVID-19 pa… https://t.co/cwfCcWyaDA,,Twitter Web App,FALSE
Dimapur 24/7.,"Nagaland, India","strive to promote Truth with Integrity.
https://t.co/pOqdhk6Mhg",11/11/19 12:02,274,32,378,FALSE,25/07/20 12:26,"Nagaland police on Covid-19 Awareness at City Tower Junction Dimapur.

#Covid19 #keepsocialdistance… https://t.co/WOvFMqhuEO","['Covid19', 'keepsocialdistance']",Twitter for Android,FALSE
